2019-08-19 10:55:13.368 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/jxapp/bangdan/get/bangdannames],methods=[GET]}" onto public com.jxtc.bookapp.config.JXResult com.jxtc.bookapp.controller.BangDanController.getBangdannames(int)
2019-08-19 10:55:13.371 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/jxapp/banner/del/banners],methods=[DELETE]}" onto public com.jxtc.bookapp.config.JXResult com.jxtc.bookapp.controller.BannerController.delBangDanBooks(int)
2019-08-19 10:55:13.371 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/jxapp/banner/add],methods=[POST]}" onto public com.jxtc.bookapp.config.JXResult com.jxtc.bookapp.controller.BannerController.addBanner(com.jxtc.bookapp.entity.Banner)
2019-08-19 10:55:13.371 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/jxapp/banner/del],methods=[DELETE]}" onto public com.jxtc.bookapp.config.JXResult com.jxtc.bookapp.controller.BannerController.deleteBanner(int)
2019-08-19 10:55:13.372 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/jxapp/banner/findbyid],methods=[GET]}" onto public com.jxtc.bookapp.config.JXResult com.jxtc.bookapp.controller.BannerController.findBannerById(int)
2019-08-19 10:55:13.372 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/jxapp/banner/list],methods=[GET]}" onto public com.jxtc.bookapp.config.JXResult com.jxtc.bookapp.controller.BannerController.getBannerList(int,int)
2019-08-19 10:55:13.372 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/jxapp/banner/list/banners],methods=[GET]}" onto public com.jxtc.bookapp.config.JXResult com.jxtc.bookapp.controller.BannerController.getBannerList(int)
2019-08-19 10:55:13.372 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/jxapp/banner/add/banners],methods=[POST]}" onto public com.jxtc.bookapp.config.JXResult com.jxtc.bookapp.controller.BannerController.addBannerImgs(com.jxtc.bookapp.entity.BannerImgs)
2019-08-19 10:55:13.373 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/jxapp/book/getchapterlist],methods=[GET]}" onto public com.jxtc.bookapp.config.JXResult com.jxtc.bookapp.controller.BookController.getChapterInfo(int,int,int,int)
2019-08-19 10:55:13.374 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/jxapp/book/getbookinfo],methods=[GET]}" onto public com.jxtc.bookapp.config.JXResult com.jxtc.bookapp.controller.BookController.getChapterInfo(int)
